EIN	Name	TotalFunctionalExpenses
341893439	MERCY MEDICAL CENTER INC	319071561
341902731	SPECIALTY HOSPITAL OF LORAIN	6964586
342032340	DILEY RIDGE MEDICAL CENTER	17892039
344427944	THE SHELBY COUNTY MEMORIAL HOSPITAL	98607096
344428205	THE BELLEVUE HOSPITAL	52425961
344428214	FULTON COUNTY HEALTH CENTER	88579017
344428218	FIRELANDS REGIONAL MEDICAL CENTER	263375089
344428232	ST LUKE'S HOSPITAL	206710706
344428256	THE TOLEDO HOSPITAL	888334813
344428598	Wayne Hospital Company	65398149
344428794	FLOWER HOSPITAL	424807723
344429514	VAN WERT COUNTY HOSPITAL ASSOCIATION	63651409
344430716	FISHER-TITUS MEDICAL CENTER	132129850
344430849	MEMORIAL HOSPITAL	60086296
344440884	WOOD COUNTY HOSPITAL ASSOCIATION	117882321
344441792	H B MAGRUDER MEMORIAL HOSPITAL	56896238
344446484	DEFIANCE HOSPITAL INC	59637995
344451872	GALION COMMUNITY HOSPITAL	190631887
344477047	HENRY COUNTY HOSPITAL INC	32355475
350211370	CAMERON MEMORIAL COMMUNITY HOSPITAL INC	70610672
350593390	DEACONESS HOSPITAL INC	888289849
350784551	ST VINCENT WILLIAMSPORT HOSPITAL INC	21480190
350811197	FAIRBANKS HOSPITAL INC	26161049
350835006	COMMUNITY HOSPITAL OF BREMEN INC	20532942
350867958	INDIANA UNIVERSITY HEALTH BALL MEMORIAL	411632529
350868085	PARKVIEW HOSPITAL INC	1241470700
350868130	MARION GENERAL HOSPITAL INC	195954427
350868132	Memorial Hospital of South Bend Inc	485573607
350868133	THE METHODIST HOSPITALS INC	390757937
350868157	SAINT JOSEPH REGIONAL MEDICAL CENTER-	376211891
350869065	ST MARY'S HEALTH INC	476972492
350869066	ST VINCENT HOSPITAL AND HEALTH CARE CENTER INC	1133407692
350876389	ST VINCENT MADISON COUNTY HEALTH SYSTEM INC	22857290
350876396	UNION HOSPITAL INC	423964912
350877574	Elkhart General Hospital Inc	285163835
350877575	GIBSON GENERAL HOSPITAL	33115101
350892672	REID HOSPITAL & HEALTH CARE SERVICES INC	406520221
350895832	THE BETHANY CIRCLE OF KING'S DAUGHTERS'	124082967
350900741	Fayette Memorial Hospital Association	49356141
350983617	COMMUNITY HEALTH NETWORK INC	1148125393
350985964	LITTLE COMPANY OF MARY HOSPITAL	226148848
350992717	St Joseph Hospital & Health Center Inc	142375200
351064295	DEKALB MEMORIAL HOSPITAL INC	71597563
351069822	COMMUNITY HOSPITAL OF ANDERSON AND	171893789
351088640	COMMUNITY HOSPITAL SOUTH INC	217372582
351107009	MUNSTER MEDICAL RESEARCH FOUNDATION INC	581269026
351129339	COMMUNITY MENTAL HEALTH CENTER INC	19094412
351142669	SAINT JOSEPH REGIONAL MEDICAL	60941421
351330472	FRANCISCAN ALLIANCE INC	2889242913
351343019	ST MARYS WARRICK HOSPITAL INC	17316998
351403134	NORTHEASTERN CENTER INC	17103069
351410753	PROJECT MERCY INC	1544343
351712001	St Vincent Seton Specialty Hospital Inc	28154372
351720796	INDIANA UNIVERSITY HEALTH BLOOMINGTON INC	366076303
351738708	ST CATHERINE HOSPITAL INC	159740183
351786005	Rehabilitation Hospital of Indiana Inc	42703068
351814660	INDIANA UNIVERSITY HEALTH WEST HOSPITAL	189242896
351841606	St Vincent Jennings Hospital Inc	16294472
351865344	COMMUNITY HOWARD REGIONAL HEALTH	127496199
351869951	CENTRAL INDIANA HEALTH SYSTEM CARDIAC SERVICES INC	42095007
351903507	AMELIA BROWN FRAZIER REHAB CTR INC BOARD DIR	9708476
351932442	INDIANA UNIVERSITY HEALTH NORTH HOSPITAL	211082153
351955872	INDIANA UNIVERSITY HEALTH INC	3363528062
351967665	WHITLEY MEMORIAL HOSPITAL INC	79918672
351970706	HUNTINGTON MEMORIAL HOSPITAL INC	58313853
351972384	PARKVIEW HEALTH SYSTEM INC	775364056
352007327	ST MARY MEDICAL CENTER INC	273833340
352087092	COMMUNITY HOSPITAL OF NOBLE COUNTY INC	61179966
352090919	INDIANA UNIVERSITY HEALTH PAOLI INC	26029508
352103153	St Vincent Randolph Hospital Inc	23773843
352112529	St Vincent Clay Hospital Inc	16366159
352228583	PIEDMONT MOUNTAINSIDE HOSPITAL INC	88023064
352258075	SHELTERING ARMS HOSPITAL SOUTH INC	12797404
352339114	Elmhurst Memorial Healthcare Group	471447996
352362438	STURGIS HOSPITAL INC	50171826
352363050	BAPTIST EASLEY HOSPITAL	132702892
352391110	Memorial Health Services Group Return	2308137596
352410801	METHODIST HOSPITAL GROUP	1888296332
352414105	DREW MEMORIAL HOSPITAL INC	39497324
352528741	Vanderbilt University Medical Center	4323710322
356001540	Goshen Hospital Association Inc	254185013
356067049	MARGARET MARY COMMUNITY HOSPITAL INC	107465676
361000540	KATHERINE SHAW BETHEA HOSPITAL	162206817
361509000	Mount Sinai Hospital Medical Center	323069456
361564290	NORWEGIAN AMERICAN HOSPITAL INC	124130821
361703630	ROSELAND COMMUNITY HOSPITAL ASSOCIATION	42364809
362012788	Bethany Homes and Methodist Hospital	46894487
362167060	NorthShore University HealthSystem	1710849277
362167785	Mendota Community Hospital	33029647
362167884	St Margaret's Hospital	92626241
362167920	ADVOCATE SHERMAN HOSPITAL	450600726
362169147	ADVOCATE HEALTH AND HOSPITALS CORP	5306559511
362169179	Palos Community Hospital	428267067
362170133	Holy Cross Hospital	138740465
362170143	La Rabida Children's Hospital	59297451
362170152	MERCY HOSPITAL AND MEDICAL CENTER	286170539
362170155	Morris Hospital	172167426
362170833	Ann & Robert H Lurie Children's Hospital of	1072205512
362170840	COPLEY MEMORIAL HOSPITAL INC	310582457
362170866	THE INGALLS MEMORIAL HOSPITAL	304049392
362174823	Rush University Medical Center	1997276594
362174832	Silver Cross Hospital and Medical Centers	386421033
362179764	Memorial Medical Center	59811795
362179802	Schwab Rehabilitation Hospital and Care	36113812
362179813	SWEDISH COVENANT HEALTH	269151113
362181997	FREEPORT MEMORIAL HOSPITAL	133086703
362183812	RUSH OAK PARK HOSPITAL INC	135918932
362193608	SHRINERS HOSPITALS FOR CHILDREN	884184182
362200248	LORETTO HOSPITAL	71058346
362222696	SwedishAmerican Hospital	595044586
362235165	Presence Chicago Hospitals Network	1050840623
362246719	Little Company of Mary Hospital Inc	241478074
362256036	Rehabilitation Institute of Chicago	313211289
362264414	St Bernard Hospital	98030456
362276984	ADVENTIST MIDWEST HEALTH	522838659
362338884	Northern Illinois Medical Center	462660942
362340313	Northwest Community Hospital	511894525
362379649	GOTTLIEB MEMORIAL HOSPITAL	133956345
362414944	Riverside Medical Center	343060861
362448028	JACKSON PARK HOSPITAL FOUNDATION	83206164
362548549	ROCHELLE COMMUNITY HOSPITAL ASSOCIATION	34162055
362596381	Alexian Brothers Medical Center	479297395
362604009	Ottawa Regional Hospital & Healthcare Center	104142738
362739299	TRINITY MEDICAL CENTER	400262055
362852553	ILLINOIS VALLEY COMMUNITY HOSPITAL	86123173
363196629	ADVOCATE NORTH SIDE HEALTH NETWORK	663519537
363208390	ADVENTIST GLENOAKS HOSPITAL	92676181
363261413	ALLINA HEALTH SYSTEM	4395396387
363297173	Edward Hospital	636770657
363311936	Stevens Community Medical Center	37267534
363317416	FAULKTON AREA MEDICAL CENTER	10697631
363332852	GOTTLIEB COMMUNITY HEALTH SERVICES	283969860
363379150	Gillette Children's Specialty Healthcare	240970111
363488183	University of Chicago Medical Center	2091967757
363517697	HEALTHEAST CARE SYSTEM	256915698
363616314	Genesis Health System (IL)	91963132
363637465	HOOPESTON COMMUNITY MEMORIAL HOSPITAL	62260627
363808993	Fallon Medical Complex Inc	10698290
363965251	naperville psychiatric ventures	48957977
364015560	LOYOLA UNIVERSITY MEDICAL CENTER	1424639477
364113692	RML Health Providers Limited Partnership	97930141
364195126	Presence Central and Suburban Hospitals Network	802032734
364251846	ST ALEXIUS MEDICAL CENTER	335898709
364251848	Alexian Brothers Behavioral Health Hospital	91004630
364664248	MCGEHEE HOSPITAL INC	12365039
364724966	Northwestern Memorial HealthCare Group	6150079387
366000085	THOREK MEMORIAL HOSPITAL	84936606
370512290	HSHS Good Shepherd Hospital Inc	17519772
370618939	Southern Illinois Hospital Services	534251907
370624255	Community Memorial Hospital Association	18413654
370645239	Carlinville Area Hospital Association	27923052
370647938	Gibson Community Hospital Association	106018643
370661183	BLESSING HOSPITAL	372800582
370661199	DECATUR MEMORIAL HOSPITAL	344219975
370661202	FAIRFIELD MEMORIAL HOSPITAL ASSOC	32031979
370661208	HILLSBORO AREA HOSPITAL INC	23937673
370661215	KIRBY MEDICAL CENTER	39673954
370661218	MARSHALL BROWNING HOSPITAL ASSOCIATION	27880038
370661223	METHODIST MEDICAL CENTER OF ILLINOIS	432032884
370661233	St Anthony's Memorial Hospital of the Hospital Sisters of The Third Order o	139308628
370661236	St Francis Hospital Sisters of the Third Order of St Francis	41686281
370661238	St John's Hospital of the Hospital Sisters of the Third Order of St Francis	555774169
370661244	St Mary's Hospital Decatur of the Hospital Sisters of the Third Order of St	138455008
370662561	Southwestern Illinois Health Facilities Inc	178420658
370662580	St Mary's Hospital Centralia Illinois	95466040
370663567	St Elizabeth's Hospital of the Hospital Sisters of the Third Order of St Fr	234742681
370663568	St Joseph's Hospital of the Hospital Sisters of the Third Order of St Franc	43782394
370673506	GRAHAM HOSPITAL ASSOCIATION	88329045
370673512	IROQUOIS MEMORIAL HOSPITAL	32598688
370681540	PROCTOR HOSPITAL	101920724
370684691	Memorial Hospital Association	30518930
370692351	PEKIN MEMORIAL HOSPITAL	57377241
370702309	HARDIN COUNTY GENERAL HOSPITAL	11409436
370792770	HSHS Holy Family Hospital	36570733
370808925	THE HOPEDALE MEDICAL FOUNDATION	27864200
370813229	OSF Healthcare System	2163616319
370860281	HOSPITAL & MEDICAL FOUNDATION OF PARIS	52729466
371119538	THE CARLE FOUNDATION HOSPITAL	739780843
371208459	St Joseph's Hospital - Hospital Sisters - Third Order of St Francis	59015767
371305510	TOUCHETTE REGIONAL HOSPITAL	61445558
371363001	RICHLAND MEMORIAL HOSPITAL	59563231
371396010	BLESSINGCARE CORPORATION	27362273
371453409	The Menninger Clinic	58647787
371705906	LOMA LINDA UNIVERSITY MED CNTR-MURRIETA	226164034
376062326	PANA COMMUNITY HOSPITAL ASSOCIATION	26441526
380350304	MUNSON HEALTHCARE MANISTEE	76944001
380593405	METROPOLITAN HOSPITAL	496447827
380833014	MIDMICHIGAN MEDICAL CENTER - MIDLAND	420516338
380997730	ASCENSION ST MARY'S HOSPITAL	312167757
381218485	CARELINK OF JACKSON	9727183
381218516	MCLAREN MACOMB	343298991
381303843	MUNSON HEALTHCARE OTSEGO MEMORIAL	108577693
381357020	HENRY FORD HEALTH SYSTEM	3041839218
381358172	SPARROW CLINTON HOSPITAL	44972257
381358208	MEMORIAL HOSPITAL	176621364
381358212	ASCENSION PROVIDENCE HOSPITAL	708640458
381359063	ASCENSION ST JOHN HOSPITAL	821676689
381359087	BRONSON METHODIST HOSPITAL	916823823
381359180	ALLEGAN GENERAL HOSPITAL	50214369
381359218	BRONSON LAKEVIEW HOSPITAL	57348052
381359247	ASCENSION PROVIDENCE ROCHESTER HOSPITAL	208587744
381359265	MARY FREE BED REHABILITATION HOSPITAL	125297040
381360526	ASCENSION BORGESS HOSPITAL	439662155
381360584	EDWARD W SPARROW HOSPITAL	940021737
381362830	MUNSON MEDICAL CENTER	637120025
381368347	ELLA E M BROWN CHARITABLE CIRCLE	153385713
381368360	PINE REST CHRISTIAN MENTAL HEALTH SERVICES	156530963
381368745	Lakeland Community Hospital Watervliet	41458055
381369611	MCLAREN PORT HURON	212169745
381369796	SHERIDAN COMMUNITY HOSPITAL	16964147
381405141	OAKWOOD HEALTHCARE INC	1240351510
381415390	DECKERVILLE COMMUNITY HOSPITAL INC	7524097
381415623	PAUL OLIVER MEMORIAL HOSPITAL	19772093
381420304	MCLAREN CENTRAL MICHIGAN	90740286
381426919	BOTSFORD GENERAL HOSPITAL	402121954
381428164	MCLAREN OAKLAND	209593625
381434090	MCLAREN GREATER LANSING	367840246
381437919	MIDMICHIGAN MEDICAL CENTER - GRATIOT	127492680
381443361	ASPIRUS KEWEENAW HOSPITAL	56676079
381443395	ASCENSION ST JOSEPH HOSPITAL	53307747
381455020	STRAITH HOSPITAL FOR SPECIAL SURGERY	16185479
381456056	SCHEURER HOSPITAL	41334915
381459362	WILLIAM BEAUMONT HOSPITAL	2736654471
381459366	MUNSON HEALTHCARE CHARLEVOIX	60483467
381474929	HURON MEMORIAL HOSPITAL	47013748
381490180	SPARROW CARSON HOSPITAL	53908886
381490190	ASCENSION BORGESS-LEE HOSPITAL	23686327
381507046	MUNISING MEMORIAL HOSPITAL ASSOCIATION	10708453
381507302	MARLETTE REGIONAL HOSPITAL	31770820
381518643	MIDMICHIGAN MEDICAL CENTER - CLARE	52391975
381559180	EATON RAPIDS MEDICAL CENTER	35955356
381565380	HARBOR BEACH COMMUNITY HOSPITAL	14351632
381576680	ASCENSION BRIGHTON CENTER FOR RECOVERY (FKA BRIGHTON CENTER FOR RECOVERY)	16247051
381619577	HILLS & DALES GENERAL HOSPITAL INC	38282792
381671120	ASCENSION STANDISH HOSPITAL	22269008
381676780	BRONSON SOUTH HAVEN HOSPITAL	44413129
381738615	MCKENZIE MEMORIAL HOSPITAL	23265565
381901104	Madison Community HospitalInc	13244015
381976271	MCLAREN BAY REGION	329396614
381984289	MERCY MEMORIAL HOSPITAL CORPORATION	142723676
382007629	HAYES GREEN BEACH MEMORIAL HOSPITAL	58308704
382027689	WA Foote Memorial Hospital	602044972
382113393	TRINITY HEALTH - MICHIGAN	2466850723
382146751	MCLAREN NORTHERN MICHIGAN	258644495
382156872	Lakeland Hospitals at Niles and St Joseph Inc	412598169
382377821	ASCENSION GENESYS HOSPITAL	390893647
382383119	MCLAREN FLINT	432603144
382589966	MERCY HEALTH PARTNERS	681225098
382602147	CHIPPEWA CNTY WAR MEMORIAL HOSPITAL INC	112666763
382689033	MCLAREN LAPEER REGION	120924239
382776791	BRONSON BATTLE CREEK HOSPITAL	270466279
382791823	HENRY FORD WYANDOTTE HOSPITAL	307134045
382796005	EMMA L BIXBY MEDICAL CENTER	85038779
382800065	HOLLAND COMMUNITY HOSPITAL	263892374
382908586	ASPIRUS IRONWOOD HOSPITAL & CLINICS INC	62032482
382947657	HENRY FORD MACOMB HOSPITAL CORPORATION	504479798
383049015	HERRICK MEMORIAL HOSPITAL INC	31049065
383160564	ASCENSION RIVER DISTRICT HOSPITAL	37947618
383161753	MCLAREN BAY SPECIAL CARE	4777197
383218134	SPARROW IONIA HOSPITAL	50991600
383236977	ASPIRUS IRON RIVER HOSPITAL & CLINICS	43879798
383322109	ASCENSION MACOMB OAKLAND HOSPITAL	392111339
383330803	NORTH OTTAWA COMMUNITY HOSPITAL	59370222
383369438	COVENANT MEDICAL CENTER INC	660785506
383426063	CARO COMMUNITY HOSPITAL	16495082
383647394	PHOEBE WORTH MEDICAL CENTER INC	16369133
383807713	CHICOT MEMORIAL MEDICAL CENTER	19825365
383833117	St John Broken Arrow Inc	54829798
383835105	HAWAI'I PACIFIC HEALTH GROUP RETURN	1206423507
383952644	MAYO CLINIC GROUP RETURN	10907256988
383975135	ASHTABULA COUNTY MEDICAL CENTER	41895123
386000029	MIDMICHIGAN MEDICAL CENTER - ALPENA	129204622
386005550	HILLSDALE COMMUNITY HEALTH CENTER	66895295
386020434	MIDMICHIGAN MEDICAL CENTER - GLADWIN	30985193
386108110	COMMUNITY HEALTH CENTER OF BRANCH COUNTY	67041920
390286215	FORT HEALTHCARE INC	124118351
390704510	TRI-COUNTY MEMORIAL HOSPITAL INC	22187307
390773970	LADD MEMORIAL HOSPITAL INC	38222749
390794174	OCONOMOWOC MEMORIAL HOSPITAL INC	104150386
390799566	Tomah Memorial Hospital	61577487
390804125	HUDSON HOSPITAL INC	55263713
390806250	DIVINE SAVIOR HEALTHCARE INC	103514558
390806265	Waupun Memorial Hospital	40345714
390806268	Mercy Medical Center of Oshkosh Inc	88557760
390806302	St Josephs Community Hospital	154048789
390806315	COLUMBIA ST MARY'S HOSPITAL MILWAUKEE INC	596737948
390806324	DOOR COUNTY MEMORIAL HOSPITAL	90827993
390806359	THEDACARE MEDICAL CENTER - BERLIN INC	48425676
390806367	MERITER HOSPITAL INC	442450937
390806395	HOLY FAMILY MEMORIAL INC	136647500
390806404	VERNON MEMORIAL HEALTHCARE INC	78513883
390806429	LANGLADE HOSPITAL - HOTEL DIEU OF	100240773
390806828	MEMORIAL HOSPITAL INC NEILLSVILLE	26446537
390807060	Sacred Heart Hospital of Hospital Sisters of Third Order of St Francis	204430379
390807063	COLUMBIA ST MARY'S HOSPITAL OZAUKEE INC	165692682
390807065	ASCENSION OUR LADY OF VICTORY HOSPITAL INC	17678427
390807068	THEDACARE MEDICAL CENTER - SHAWANO INC	46130701
390807236	Agnesian Healthcare Inc	431650414
390808443	ASCENSION ST MICHAEL'S HOSPITAL INC	176971992
390808480	St Nicholas Hospital of the Hospital Sisters of the Third Order of St Franc	116913375
390808498	THE RICHLAND HOSPITAL INC	40565611
390808503	ASCENSION GOOD SAMARITAN HOSPITAL INC	19318970
390808509	The Monroe Clinic Inc	175021509
390808526	BALDWIN AREA MEDICAL CENTER INC	48882656
390810545	St Joseph's Hospital of the Hospital Sisters of the Third Order of St Franc	58536495
390812532	CHILDREN'S HOSPITAL OF WISCONSIN INC	725710441
390813416	Gundersen Lutheran Medical Center Inc	997319482
390816818	Ascension NE Wisconsin Inc (FKA St Elizabeth Hospital Inc)	225390472
390816845	FROEDTERT SOUTH INC	316341380
390816857	ASCENSION SE WISCONSIN HOSPITAL INC	392347139
390817529	St Vincent Hospital of the Hospital Sisters of the Third Order of St Franci	537936805
390818682	St Mary's Hospital Medical Center of Green Bay Inc - Hospital Sisters	126897840
390819992	Edgerton Hospital and Health	23227167
390824015	THEDACARE REGIONAL MEDICAL CENTER -	254710002
390830664	THEDACARE REGIONAL MEDICAL CENTER -	181119888
390831153	CUMBERLAND MEMORIAL HOSPITAL INC	23830717
390832914	Stoughton Hospital Association	47695317
390837206	LAKEVIEW MEDICAL CENTER INC	129446680
390845590	MEMORIAL HOSPITAL OF BOSCOBEL	18713066
390848401	St Clare Memorial Hospital Inc	33773599
390868982	ASPIRUS RIVERVIEW HOSPITAL	133917933
390869788	THEDACARE MEDICAL CENTER - NEW LONDON	26429290
390871113	THEDACARE MEDICAL CENTER - WAUPACA INC	34208456
390872080	SAUK PRAIRIE HEALTHCARE INC	93893981
390873606	THE HOWARD YOUNG MEDICAL CENTER INC	47964547
390884478	BELLIN MEMORIAL HOSPITAL INC	532235911
390890676	ST CROIX REGIONAL MEDICAL CENTER	120064995
390892183	SPOONER HEALTH SYSTEM INC	25478901
390902199	Sacred Heart Rehabilitation Institute Inc	13220236
390905385	ASCENSION CALUMET HOSPITAL INC	28261032
390907740	ASCENSION ST FRANCIS HOSPITAL INC	163706986
390908320	AMERY REGIONAL MEDICAL CENTER INC	60456393
390910727	WAUKESHA MEMORIAL HOSPITAL INC	478450158
390926284	Prairie du Chien Memorial Hospital	52509880
390929538	ST JOSEPH'S HEALTH SERVICES INC	23016688
390938661	BURNETT MEDICAL CENTER INC	21625008
390944012	MOUNDVIEW MEMORIAL HOSPITAL & CLINICS	18797061
390964813	ASPIRUS MEDFORD HOSPITAL & CLINICS INC	81998960
390973724	FLAMBEAU HOSPITAL INC	24954142
390985690	ASCENSION EAGLE RIVER HOSPITAL INC	15085500
390987025	Community Memorial Hospital of Menomonee	307661140
390992883	Mile Bluff Medical Center Inc	88872097
391027536	BLACK RIVER MEMORIAL HOSPITAL INC	68845923
391028081	BELOIT HEALTH SYSTEM INC	240757231
391030310	GREATER WATERTOWN COMMUNITY HEALTH	24503092
391091432	REEDSBURG AREA MEDICAL CENTER	77995121
391101287	Ripon Medical Center Inc	29358166
391138241	ASPIRUS WAUSAU HOSPITAL INC	494067234
391139101	ROGERS MEMORIAL HOSPITAL INC	214384410
391140373	PRAIRIE RIDGE HEALTH INC	48041895
391157876	BEAVER DAM COMMUNITY HOSPITALS INC DBA	111878406
391264986	ASCENSION ALL SAINTS HOSPITAL INC	317860044
391365168	CHIPPEWA VALLEY HOSPITAL AND	14554515
391370626	SOUTHWEST HEALTH CENTER INC	69787929
391390638	ASCENSION SACRED HEART-ST MARY'S HOSPITALS INC	134853935
391528430	BAY AREA MEDICAL CENTER INC	133823083
391536207	MEDICAL SERVICES INC	55386011
391568865	WHEATON FRANCISCAN HEALTHCARE - SOUTHEAST WISCONSIN INC	62910212
391657627	BELLIN PSYCHIATRIC CENTER	24666472
391834639	Columbia St Mary's Inc	331588053
391834962	GRANT REGIONAL HEALTH CENTER INC	31064884
391902797	MANNING REGIONAL HEALTHCARE CENTER	16968295
391904975	REGIONAL WEST GARDEN COUNTY	8423562
392031968	NEBRASKA HEART HOSPITAL	54630708
396089134	THEDACARE MEDICAL CENTER - WILD ROSE	10222645
396105970	FROEDTERT MEMORIAL LUTHERAN HOSPITAL	1747742246
410307617	Hendricks Community Hospital Assn	14277149
410682405	Hazelden Betty Ford Foundation	185172799
410693877	SAINT ELIZABETH'S HOSPITAL OF WABASHA INC	44003201
410693880	HEALTHEAST ST JOSEPH'S HOSPITAL	364227160
410695596	ST CLOUD HOSPITAL	873712933
410695598	ST FRANCIS MEDICAL CENTER	22936392
410695602	ST JOSEPH'S MEDICAL CENTER	212653624
410695603	ST JOSEPH'S AREA HEALTH SERVICES	46947199
410695604	ST MARY'S MEDICAL CENTER	439502980
410706115	MADISON HEALTHCARE SERVICES	16806411
410706143	FIRST CARE MEDICAL SERVICES	28409351
410713913	TRI-COUNTY HOSPITAL INC	67042502
410713914	Winona Health Services Inc	111569620
410714079	ST LUKE'S HOSPITAL OF DULUTH	490168390
410721642	UNITY FAMILY HEALTHCARE	72956896
410724029	RIVERVIEW HEALTHCARE ASSOCIATION	62205345
410724034	KITTSON MEMORIAL HOSPITAL	16367193
410726171	International Falls Memorial Hospital	29000652
410726173	GRACEVILLE HEALTH CENTER	9917761
410729979	NORTH MEMORIAL HEALTH CARE	847298913
410730602	LAKE REGION HEALTHCARE CORPORATION	135576305
410743546	COMMUNITY MEMORIAL HOSPITAL ASSOCIATION	62226960
410745522	AITKIN COMMUNITY HOSPITAL DBA	67644569
410758434	Lakewood Health Center	16796086
410758512	MADELIA COMMUNITY HOSPITAL INCORPORATED	12825683
410785161	MILLE LACS HEALTH SYSTEM	44793049
410786046	LAKE VIEW MEMORIAL HOSPITAL INC	16922857
410808719	ELY-BLOOMENSON COMMUNITY HOSPITAL	21430355
410811697	LAKEVIEW MEMORIAL HOSPITAL	114152074
410837659	MINNESOTA VALLEY HEALTH CENTER INC	12643578
410841441	NORTHERN PINES MEDICAL CENTER	16381579
410844574	DEER RIVER HEALTHCARE CENTER INC	34859625
410853163	Avera Tyler	10816215
410855367	OLMSTED MEDICAL CENTER	218505274
410907986	ST FRANCIS REGIONAL MEDICAL CENTER	153901031
410919153	Avera Marshall	84615924
410956618	REGIONS HOSPITAL	778838024
410991680	FAIRVIEW HEALTH SERVICES	3660770961
411293970	RANGE REGIONAL HEALTH SERVICES	122408617
411384358	Warren Community Hospital Inc	11531466
411456897	HEALTHEAST ST JOHN'S HOSPITAL	249653131
411592761	HEALTHEAST WOODWINDS HOSPITAL	168347967
411620386	ST MARY'S REGIONAL HEALTH CENTER	131945871
411724637	CUYUNA REGIONAL MEDICAL CENTER	129617881
411754276	Children's Health Care	869048377
411763968	PRAIRIE RIDGE HOSPITAL AND HEALTH SERVICES INC	19775891
411801967	SIBLEY MEDICAL CENTER	14833230
411804205	LifeCare Medical Center	48915116
411811073	ST MARY'S HOSPITAL OF SUPERIOR	63539079
411813221	CENTRACARE HEALTH SYSTEM	389622910
411842965	LAKEWOOD HEALTH SYSTEM	106207463
411865315	CENTRACARE HEALTH SYSTEM - MELROSE	40163258
411865874	GRAND ITASCA CLINIC AND HOSPITAL	88749470
411878730	SMDC MEDICAL CENTER	572153049
411884597	PINE MEDICAL CENTER	22133565
411924645	CENTRACARE HEALTH SYSTEM - LONG PRAIRIE	40770046
411949230	GLENCOE REGIONAL HEALTH SERVICES	62981017
420504780	ST LUKE'S METHODIST HOSPITAL	382510841
420670596	SUMNER COMMUNITY CLUB	14247800
420680308	Mercy Medical Center - Centerville	28847375
420680337	UNITY HEALTHCARE	45886692
420680354	THE FINLEY HOSPITAL	126079257
420680355	JENNIE EDMUNDSON MEMORIAL HOSPITAL	106778558
420680370	Avera Holy Family	27324090
420680391	Mercy Hospital Iowa City Iowa	157246302
420680407	GREAT RIVER MEDICAL CENTER	229637205
420680448	Catholic Health Initiatives - Iowa Corp	810014550
420680452	CENTRAL IOWA HOSPITAL CORPORATION	820132090
420698265	ALLEN MEMORIAL HOSPITAL CORPORATION	268240434
420698295	MERCY MEDICAL CENTER	341581015
420707096	SIOUX VALLEY MEMORIAL HOSPITAL	30872223
420710268	KEOKUK AREA HOSPITAL	23143374
420733472	St Anthony Regional Hospital	80293839
420738969	COMMUNITY HOSPITAL INC	11436838
420758901	Sartori Memorial Hospital Inc	34208308
420776568	ALEGENT HEALTH-COMMUNITY MEMORIAL HOSPITAL OF MISSOURI VALLEYIOWA	23452084
420782518	ALEGENT HEALTH-MERCY HOSPITAL CORNING IA	17784765
420796764	Sioux Center Health	44940937
420818642	Central Community Hospital	8849171
420842204	PELLA REGIONAL HEALTH CENTER	96486092
420843389	IDA COUNTY IOWA COMMUNITY HOSPITAL INC	20673702
420859940	BURGESS HEALTH CENTER	30250855
420860039	STEWART MEMORIAL COMMUNITY HOSPITAL	31200273
420890973	OSCEOLA COMMUNITY HOSPITAL INC	11542205
420932564	HEGG MEMORIAL HEALTH CENTER	22485974
420933383	GRINNELL REGIONAL MEDICAL CENTER	50430836
420948420	CENTRAL IOWA HEALTHCARE	1020935
421009175	TRINITY REGIONAL MEDICAL CENTER	127494578
421017512	UPLAND HILLS HEALTH INC	53747059
421019872	NORTHWEST IOWA HOSPITAL CORPORATION	167280738
421081055	FORT MADISON COMMUNITY HOSPITAL	61936552
421087612	KNOXVILLE COMMUNITY HOSPITAL INC	34370672
421101835	SHENANDOAH MEDICAL CENTER	47317866
421178403	Mercy Hospital of Franciscan Sisters Inc	13692278
421231996	Virginia Gay Hospital Inc	28085814
421264647	Covenant Medical Center Inc	301569303
421276632	STL CARE COMPANY	16041700
421320763	PALMER LUTHERAN HEALTH CENTER INC	30160851
421336618	MERCY MEDICAL CENTER - CLINTON INC	101426892
421418132	LORING HOSPITAL	13020207
421418847	Genesis Health System	526791273
421470935	MERCY MEDICAL CENTER - NEWTON	34896460
421487967	ST LUKE'SJONES REGIONAL MEDICAL CENTER	32414589
421500277	BAUM HARMON MERCY HOSPITAL	8202745
421707837	HENNEPIN HEALTHCARE SYSTEM INC	1049460841
430633449	MISSOURI DELTA MEDICAL CENTER	107131625
430652680	ST LUKE'S EPISCOPAL-PRESBYTERIAN	481595445
430653493	MERCY HOSPITALS EAST COMMUNITIES	1248857160
430653587	Good Samaritan Regional Health Center	179287224
430654874	SOUTHEAST HOSPITAL	415874526
430662495	HANNIBAL REGIONAL HEALTHCARE SYSTEM INC	186970433
430666765	THE RANKEN-JORDAN HOME FOR CONVALESCENT	32416412
430687077	Mercy Hospital Jefferson	203325974
430688874	SSM Health Care of Wisconsin Inc	552975324
430715842	GENERAL JOHN J PERSHING	19179107
430738490	SSM Cardinal Glennon Children's Hospital	339821577
430980256	MERCY HOSPITAL SOUTH	505497635
431240629	FREEMAN NEOSHO HOSPITAL	25773716
431343281	SSM Health Care St Louis	1454812939
431550298	SSM Audrain Health Care Inc	63564019
